id,x,y,timestamp,severity,speed_limit,weather,road_state
55270,131.159014858535,85.4434212876673,1448883540,2,100,1,1
55271,130.293701554054,85.864539905967,1414337580,1,0,7,5
55272,131.025279546911,85.4284767308754,1448427300,1,0,1,1
55273,130.323547562901,85.8786350624975,1414157700,1,0,7,5
55274,130.331455769756,85.8659865467897,1409996700,1,50,0,0
55275,130.330033975377,85.9250466347307,1413821580,1,0,7,5
55276,131.162046262245,85.6741786499498,1446820200,1,0,0,0
55277,130.287723700221,85.9077451386327,1412779200,1,0,0,1
55279,130.325432921534,85.9259244389657,1411396800,1,50,0,0
55280,130.323726741804,85.9009435183098,1413498000,1,30,0,1
55281,130.292449399703,85.9042121546871,1414042500,1,0,7,5
55282,130.31742672567,85.9023643638439,1412406900,1,50,0,0
55283,130.305101103308,85.8489568739073,1412936400,1,0,7,5
55284,130.327281523222,85.896782190622,1415005200,1,0,7,5
55285,130.321157155913,85.8866713920383,1412087400,1,50,0,0
55286,130.327541438141,85.8919953151287,1413567600,1,0,7,5
55287,130.323547562901,85.8786350624975,1411722600,1,0,7,5
55288,130.302320512303,85.871076751151,1414602180,1,0,7,5
55289,130.331667418101,85.9036485717092,1393434900,1,50,7,5
55290,130.340695034929,85.8703002631348,1412157780,1,50,0,0
55291,130.328749883225,85.8936952435942,1412361660,1,30,0,0
55292,130.314959975087,85.8937612349681,1411578840,1,30,0,1
55293,130.331816052488,85.8997749537416,1412350680,1,50,0,0
55295,130.326735766241,85.8425407841488,1411647300,1,0,7,5
55297,130.31627580079,85.8972592880588,1412602740,1,0,7,5
55299,131.268118303972,85.4792109818013,1446398100,1,120,0,3
55300,131.307299435588,85.2818562277272,1446555000,1,120,0,0
55301,131.155244952929,85.4757793072818,1447519500,1,70,1,1
55303,130.318051051112,85.889609848822,1412748000,1,50,1,1
55304,131.111473315987,85.4742402347216,1446642600,1,70,0,3
55305,131.225929295164,85.463563812893,1447577100,1,100,0,1
55306,130.294453697391,85.8878696559925,1414583400,1,0,7,5
55307,130.327541438141,85.8919953151287,1412613000,1,50,0,1
